dt,tm,walker_id
2018-07-20,14:30:00,1
2018-08-06,13:30:00,1
2018-08-07,18:00:00,2
2018-08-08,11:30:00,3
2018-08-09,12:30:00,3
2018-08-13,13:00:00,1
2018-08-14,13:00:00,3
2018-08-15,15:30:00,3
2018-08-16,12:00:00,4
2018-08-20,12:00:00,4
2018-08-21,12:30:00,3
2018-08-22,13:00:00,4
2018-08-23,13:00:00,3
2018-08-24,12:00:00,4
2018-08-27,12:30:00,1
2018-08-29,12:00:00,4
2018-08-30,12:30:00,5
2018-09-05,16:30:00,2
2018-09-07,15:30:00,1
2018-09-10,12:30:00,4
2018-09-11,12:00:00,4
2018-09-12,12:30:00,4
2018-09-14,13:00:00,6
2018-09-17,14:30:00,6
2018-09-18,15:30:00,5
2018-09-19,13:30:00,6
2018-09-20,15:00:00,4
2018-09-21,12:30:00,6
2018-09-24,14:30:00,6
2018-09-25,13:00:00,6
2018-09-26,13:30:00,6
2018-09-27,11:30:00,5
2018-09-28,14:30:00,1
2018-10-01,15:00:00,6
2018-10-02,14:00:00,6
2018-10-03,14:00:00,6
2018-10-04,16:00:00,2
2018-10-09,14:00:00,6
2018-10-11,13:30:00,6
2018-10-12,15:00:00,6
2018-10-15,15:30:00,6
2018-10-17,15:30:00,6
2018-10-18,12:30:00,5
2018-10-19,17:00:00,1
2018-10-22,15:30:00,1
2018-10-23,14:00:00,2
2018-10-24,17:00:00,1
2018-10-25,13:30:00,5
2018-10-26,12:00:00,7
2018-10-29,14:30:00,1
2018-10-30,13:00:00,7
2018-10-31,13:00:00,7
2018-11-01,12:00:00,7
2018-11-05,12:00:00,7
2018-11-07,12:00:00,7
2018-11-08,11:30:00,7
2018-11-09,12:00:00,7
2018-11-14,12:00:00,7
2018-11-15,12:00:00,7
2018-11-16,12:00:00,7
2018-11-19,12:00:00,7
2018-11-20,12:00:00,7
2018-11-29,12:00:00,7
2018-11-30,12:00:00,7
2018-12-03,12:00:00,7
2018-12-04,12:30:00,7
2018-12-06,12:00:00,7
2018-12-07,12:00:00,7
2018-12-10,13:00:00,1
2018-12-11,12:00:00,7
2018-12-12,12:30:00,7
2018-12-13,12:00:00,7
2018-12-14,12:00:00,7
2018-12-17,12:00:00,7
2018-12-18,12:30:00,7
2018-12-20,12:00:00,7
2019-01-03,12:00:00,7
2019-01-04,12:00:00,7
2019-01-07,12:00:00,7
2019-01-08,12:00:00,7
2019-01-09,12:00:00,7